entity;entity_display_order;entity_description_en;end;cns;locns;upcns;sex;period_10;country;metadata
180;25;Breast;5;66.935829;65.772125;68.070137;2;1970;Norway;sortorder[entity_display_order period_10 sex]
180;25;Breast;10;52.552906;50.831642;54.243484;2;1970;Norway;
180;25;Breast;5;74.06263;73.093086;75.003479;2;1980;Norway;
180;25;Breast;10;60.711655;59.199341;62.18708;2;1980;Norway;
180;25;Breast;5;79.877686;79.016762;80.707741;2;1990;Norway;
180;25;Breast;10;69.451714;68.020729;70.833084;2;1990;Norway;
180;25;Breast;5;85.39193;84.570564;86.173225;2;2000;Norway;
180;25;Breast;10;76.842987;75.389473;78.223488;2;2000;Norway;
180;25;Breast;5;88.783188;88.048172;89.475746;2;2010;Norway;
180;25;Breast;10;81.032722;79.563873;82.407967;2;2010;Norway;
240;34;Prostate;5;53.159355;51.672794;54.622089;1;1970;Norway;
240;34;Prostate;10;36.515411;34.825993;38.205425;1;1970;Norway;
240;34;Prostate;5;56.101814;54.663486;57.513714;1;1980;Norway;
240;34;Prostate;10;39.272694;37.612507;40.927998;1;1980;Norway;
240;34;Prostate;5;71.0868;70.109985;72.038376;1;1990;Norway;
240;34;Prostate;10;54.507568;53.19907;55.796028;1;1990;Norway;
240;34;Prostate;5;87.190651;86.58213;87.77356;1;2000;Norway;
240;34;Prostate;10;78.607567;77.581245;79.593285;1;2000;Norway;
240;34;Prostate;5;94.331337;93.84697;94.778633;1;2010;Norway;
240;34;Prostate;10;86.545959;85.469063;87.548958;1;2010;Norway;
